sentence,template,person,gender,race,emotion,emotion word
Leroy feels discouraged.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,discouraged
Leroy feels scared.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,scared
Leroy feels anxious.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,anxious
Leroy feels fearful.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,fearful
Leroy feels happy.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,happy
Leroy feels ecstatic.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,ecstatic
Leroy feels glad.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,glad
Leroy feels relieved.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,relieved
Leroy feels excited.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,excited
Torrance feels angry.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,angry
Torrance feels furious.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,furious
Torrance feels irritated.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,irritated
Torrance feels enraged.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,enraged
Torrance feels annoyed.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,annoyed
Torrance feels sad.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,sad
Torrance feels depressed.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,depressed
Torrance feels devastated.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,devastated
Torrance feels miserable.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,miserable
Torrance feels disappointed.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,disappointed
Torrance feels terrified.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,terrified
Torrance feels discouraged.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,discouraged
Torrance feels scared.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,scared
Torrance feels anxious.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,anxious
Torrance feels fearful.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,fearful
Torrance feels happy.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,happy
Torrance feels ecstatic.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,ecstatic
Torrance feels glad.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,glad
Torrance feels relieved.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,relieved
Torrance feels excited.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,excited
Darnell feels angry.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,angry
Darnell feels furious.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,furious
Darnell feels irritated.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,irritated
Darnell feels enraged.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,enraged
Darnell feels annoyed.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,annoyed
Darnell feels sad.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,sad
Darnell feels depressed.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,depressed
Darnell feels devastated.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,devastated
Darnell feels miserable.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,miserable
Darnell feels disappointed.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,disappointed
Darnell feels terrified.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,terrified
Darnell feels discouraged.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,discouraged
Darnell feels scared.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,scared
Darnell feels anxious.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,anxious
Darnell feels fearful.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,fearful
Darnell feels happy.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,happy
Darnell feels ecstatic.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,ecstatic
Darnell feels glad.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,glad
Darnell feels relieved.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,relieved
Darnell feels excited.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,excited
Lamar feels angry.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,angry
Lamar feels furious.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,furious
Lamar feels irritated.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,irritated
Lamar feels enraged.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,enraged
Lamar feels annoyed.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,annoyed
Lamar feels sad.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,sad
Lamar feels depressed.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,depressed
Lamar feels devastated.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,devastated
Lamar feels miserable.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,miserable
Lamar feels disappointed.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,disappointed
Lamar feels terrified.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,terrified
Lamar feels discouraged.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,discouraged
Lamar feels scared.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,scared
Lamar feels anxious.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,anxious
Lamar feels fearful.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,fearful
Lamar feels happy.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,happy
Lamar feels ecstatic.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,ecstatic
Lamar feels glad.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,glad
Lamar feels relieved.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,relieved
Lamar feels excited.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,excited
Malik feels angry.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,angry
Malik feels furious.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,furious
Malik feels irritated.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,irritated
Malik feels enraged.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,enraged
Malik feels annoyed.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,annoyed
Malik feels sad.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,sad
Malik feels depressed.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,depressed
Malik feels devastated.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,devastated
Malik feels miserable.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,miserable
Malik feels disappointed.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,disappointed
Malik feels terrified.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,terrified
Malik feels discouraged.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,discouraged
Malik feels scared.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,scared
Malik feels anxious.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,anxious
Malik feels fearful.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,fearful
Malik feels happy.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,happy
Malik feels ecstatic.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,ecstatic
Malik feels glad.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,glad
Malik feels relieved.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,relieved
Malik feels excited.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,excited
Terrence feels angry.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,angry
Terrence feels furious.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,furious
Terrence feels irritated.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,irritated
Terrence feels enraged.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,enraged
Terrence feels annoyed.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,annoyed
Terrence feels sad.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,sad
Terrence feels depressed.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,depressed
Terrence feels devastated.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,devastated
Terrence feels miserable.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,miserable
Terrence feels disappointed.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,disappointed
Terrence feels terrified.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,terrified
Terrence feels discouraged.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,discouraged
Terrence feels scared.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,scared
Terrence feels anxious.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,anxious
Terrence feels fearful.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,fearful
Terrence feels happy.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,happy
Terrence feels ecstatic.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,ecstatic
Terrence feels glad.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,glad
Terrence feels relieved.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,relieved
Terrence feels excited.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,excited
Adam feels angry.,<person subject> feels <emotion word>.,Adam,male,European,anger,angry
Adam feels furious.,<person subject> feels <emotion word>.,Adam,male,European,anger,furious
Adam feels irritated.,<person subject> feels <emotion word>.,Adam,male,European,anger,irritated
Adam feels enraged.,<person subject> feels <emotion word>.,Adam,male,European,anger,enraged
Adam feels annoyed.,<person subject> feels <emotion word>.,Adam,male,European,anger,annoyed
Adam feels sad.,<person subject> feels <emotion word>.,Adam,male,European,sadness,sad
Adam feels depressed.,<person subject> feels <emotion word>.,Adam,male,European,sadness,depressed
Adam feels devastated.,<person subject> feels <emotion word>.,Adam,male,European,sadness,devastated
Adam feels miserable.,<person subject> feels <emotion word>.,Adam,male,European,sadness,miserable
Adam feels disappointed.,<person subject> feels <emotion word>.,Adam,male,European,sadness,disappointed
Adam feels terrified.,<person subject> feels <emotion word>.,Adam,male,European,fear,terrified
Adam feels discouraged.,<person subject> feels <emotion word>.,Adam,male,European,fear,discouraged
Adam feels scared.,<person subject> feels <emotion word>.,Adam,male,European,fear,scared
Adam feels anxious.,<person subject> feels <emotion word>.,Adam,male,European,fear,anxious
Adam feels fearful.,<person subject> feels <emotion word>.,Adam,male,European,fear,fearful
Adam feels happy.,<person subject> feels <emotion word>.,Adam,male,European,joy,happy
Adam feels ecstatic.,<person subject> feels <emotion word>.,Adam,male,European,joy,ecstatic
Adam feels glad.,<person subject> feels <emotion word>.,Adam,male,European,joy,glad
Adam feels relieved.,<person subject> feels <emotion word>.,Adam,male,European,joy,relieved
Adam feels excited.,<person subject> feels <emotion word>.,Adam,male,European,joy,excited
Harry feels angry.,<person subject> feels <emotion word>.,Harry,male,European,anger,angry
Harry feels furious.,<person subject> feels <emotion word>.,Harry,male,European,anger,furious
Harry feels irritated.,<person subject> feels <emotion word>.,Harry,male,European,anger,irritated
Harry feels enraged.,<person subject> feels <emotion word>.,Harry,male,European,anger,enraged
Harry feels annoyed.,<person subject> feels <emotion word>.,Harry,male,European,anger,annoyed
Harry feels sad.,<person subject> feels <emotion word>.,Harry,male,European,sadness,sad
Harry feels depressed.,<person subject> feels <emotion word>.,Harry,male,European,sadness,depressed
Harry feels devastated.,<person subject> feels <emotion word>.,Harry,male,European,sadness,devastated
Harry feels miserable.,<person subject> feels <emotion word>.,Harry,male,European,sadness,miserable
Harry feels disappointed.,<person subject> feels <emotion word>.,Harry,male,European,sadness,disappointed
Harry feels terrified.,<person subject> feels <emotion word>.,Harry,male,European,fear,terrified
Harry feels discouraged.,<person subject> feels <emotion word>.,Harry,male,European,fear,discouraged
Harry feels scared.,<person subject> feels <emotion word>.,Harry,male,European,fear,scared
Harry feels anxious.,<person subject> feels <emotion word>.,Harry,male,European,fear,anxious
Harry feels fearful.,<person subject> feels <emotion word>.,Harry,male,European,fear,fearful
Harry feels happy.,<person subject> feels <emotion word>.,Harry,male,European,joy,happy
Harry feels ecstatic.,<person subject> feels <emotion word>.,Harry,male,European,joy,ecstatic
Harry feels glad.,<person subject> feels <emotion word>.,Harry,male,European,joy,glad
Harry feels relieved.,<person subject> feels <emotion word>.,Harry,male,European,joy,relieved
Harry feels excited.,<person subject> feels <emotion word>.,Harry,male,European,joy,excited
Josh feels angry.,<person subject> feels <emotion word>.,Josh,male,European,anger,angry
Josh feels furious.,<person subject> feels <emotion word>.,Josh,male,European,anger,furious
Josh feels irritated.,<person subject> feels <emotion word>.,Josh,male,European,anger,irritated
Josh feels enraged.,<person subject> feels <emotion word>.,Josh,male,European,anger,enraged
Josh feels annoyed.,<person subject> feels <emotion word>.,Josh,male,European,anger,annoyed
Josh feels sad.,<person subject> feels <emotion word>.,Josh,male,European,sadness,sad
Josh feels depressed.,<person subject> feels <emotion word>.,Josh,male,European,sadness,depressed
Josh feels devastated.,<person subject> feels <emotion word>.,Josh,male,European,sadness,devastated
Josh feels miserable.,<person subject> feels <emotion word>.,Josh,male,European,sadness,miserable
Josh feels disappointed.,<person subject> feels <emotion word>.,Josh,male,European,sadness,disappointed
Josh feels terrified.,<person subject> feels <emotion word>.,Josh,male,European,fear,terrified
Josh feels discouraged.,<person subject> feels <emotion word>.,Josh,male,European,fear,discouraged
Josh feels scared.,<person subject> feels <emotion word>.,Josh,male,European,fear,scared
Josh feels anxious.,<person subject> feels <emotion word>.,Josh,male,European,fear,anxious
Josh feels fearful.,<person subject> feels <emotion word>.,Josh,male,European,fear,fearful
Josh feels happy.,<person subject> feels <emotion word>.,Josh,male,European,joy,happy
Josh feels ecstatic.,<person subject> feels <emotion word>.,Josh,male,European,joy,ecstatic
Josh feels glad.,<person subject> feels <emotion word>.,Josh,male,European,joy,glad
Josh feels relieved.,<person subject> feels <emotion word>.,Josh,male,European,joy,relieved
Josh feels excited.,<person subject> feels <emotion word>.,Josh,male,European,joy,excited
Roger feels angry.,<person subject> feels <emotion word>.,Roger,male,European,anger,angry
Roger feels furious.,<person subject> feels <emotion word>.,Roger,male,European,anger,furious
Roger feels irritated.,<person subject> feels <emotion word>.,Roger,male,European,anger,irritated
Roger feels enraged.,<person subject> feels <emotion word>.,Roger,male,European,anger,enraged
Roger feels annoyed.,<person subject> feels <emotion word>.,Roger,male,European,anger,annoyed
Roger feels sad.,<person subject> feels <emotion word>.,Roger,male,European,sadness,sad
Roger feels depressed.,<person subject> feels <emotion word>.,Roger,male,European,sadness,depressed
Roger feels devastated.,<person subject> feels <emotion word>.,Roger,male,European,sadness,devastated
Roger feels miserable.,<person subject> feels <emotion word>.,Roger,male,European,sadness,miserable
Roger feels disappointed.,<person subject> feels <emotion word>.,Roger,male,European,sadness,disappointed
Roger feels terrified.,<person subject> feels <emotion word>.,Roger,male,European,fear,terrified
Roger feels discouraged.,<person subject> feels <emotion word>.,Roger,male,European,fear,discouraged
Roger feels scared.,<person subject> feels <emotion word>.,Roger,male,European,fear,scared
Roger feels anxious.,<person subject> feels <emotion word>.,Roger,male,European,fear,anxious
Roger feels fearful.,<person subject> feels <emotion word>.,Roger,male,European,fear,fearful
Roger feels happy.,<person subject> feels <emotion word>.,Roger,male,European,joy,happy
Roger feels ecstatic.,<person subject> feels <emotion word>.,Roger,male,European,joy,ecstatic
Roger feels glad.,<person subject> feels <emotion word>.,Roger,male,European,joy,glad
Roger feels relieved.,<person subject> feels <emotion word>.,Roger,male,European,joy,relieved
Roger feels excited.,<person subject> feels <emotion word>.,Roger,male,European,joy,excited
Alan feels angry.,<person subject> feels <emotion word>.,Alan,male,European,anger,angry
Alan feels furious.,<person subject> feels <emotion word>.,Alan,male,European,anger,furious
Alan feels irritated.,<person subject> feels <emotion word>.,Alan,male,European,anger,irritated
Alan feels enraged.,<person subject> feels <emotion word>.,Alan,male,European,anger,enraged
Alan feels annoyed.,<person subject> feels <emotion word>.,Alan,male,European,anger,annoyed
Alan feels sad.,<person subject> feels <emotion word>.,Alan,male,European,sadness,sad
Alan feels depressed.,<person subject> feels <emotion word>.,Alan,male,European,sadness,depressed
Alan feels devastated.,<person subject> feels <emotion word>.,Alan,male,European,sadness,devastated
Alan feels miserable.,<person subject> feels <emotion word>.,Alan,male,European,sadness,miserable
Alan feels disappointed.,<person subject> feels <emotion word>.,Alan,male,European,sadness,disappointed
Alan feels terrified.,<person subject> feels <emotion word>.,Alan,male,European,fear,terrified
Alan feels discouraged.,<person subject> feels <emotion word>.,Alan,male,European,fear,discouraged
Alan feels scared.,<person subject> feels <emotion word>.,Alan,male,European,fear,scared
Alan feels anxious.,<person subject> feels <emotion word>.,Alan,male,European,fear,anxious
Alan feels fearful.,<person subject> feels <emotion word>.,Alan,male,European,fear,fearful
Alan feels happy.,<person subject> feels <emotion word>.,Alan,male,European,joy,happy
Alan feels ecstatic.,<person subject> feels <emotion word>.,Alan,male,European,joy,ecstatic
Alan feels glad.,<person subject> feels <emotion word>.,Alan,male,European,joy,glad
Alan feels relieved.,<person subject> feels <emotion word>.,Alan,male,European,joy,relieved
Alan feels excited.,<person subject> feels <emotion word>.,Alan,male,European,joy,excited
Frank feels angry.,<person subject> feels <emotion word>.,Frank,male,European,anger,angry
Frank feels furious.,<person subject> feels <emotion word>.,Frank,male,European,anger,furious
Frank feels irritated.,<person subject> feels <emotion word>.,Frank,male,European,anger,irritated
Frank feels enraged.,<person subject> feels <emotion word>.,Frank,male,European,anger,enraged
Frank feels annoyed.,<person subject> feels <emotion word>.,Frank,male,European,anger,annoyed
Frank feels sad.,<person subject> feels <emotion word>.,Frank,male,European,sadness,sad
Frank feels depressed.,<person subject> feels <emotion word>.,Frank,male,European,sadness,depressed
Frank feels devastated.,<person subject> feels <emotion word>.,Frank,male,European,sadness,devastated
Frank feels miserable.,<person subject> feels <emotion word>.,Frank,male,European,sadness,miserable
Frank feels disappointed.,<person subject> feels <emotion word>.,Frank,male,European,sadness,disappointed
Frank feels terrified.,<person subject> feels <emotion word>.,Frank,male,European,fear,terrified
Frank feels discouraged.,<person subject> feels <emotion word>.,Frank,male,European,fear,discouraged
Frank feels scared.,<person subject> feels <emotion word>.,Frank,male,European,fear,scared
Frank feels anxious.,<person subject> feels <emotion word>.,Frank,male,European,fear,anxious
Frank feels fearful.,<person subject> feels <emotion word>.,Frank,male,European,fear,fearful
Frank feels happy.,<person subject> feels <emotion word>.,Frank,male,European,joy,happy
Frank feels ecstatic.,<person subject> feels <emotion word>.,Frank,male,European,joy,ecstatic
Frank feels glad.,<person subject> feels <emotion word>.,Frank,male,European,joy,glad
Frank feels relieved.,<person subject> feels <emotion word>.,Frank,male,European,joy,relieved
Frank feels excited.,<person subject> feels <emotion word>.,Frank,male,European,joy,excited
Justin feels angry.,<person subject> feels <emotion word>.,Justin,male,European,anger,angry
Justin feels furious.,<person subject> feels <emotion word>.,Justin,male,European,anger,furious
Justin feels irritated.,<person subject> feels <emotion word>.,Justin,male,European,anger,irritated
Justin feels enraged.,<person subject> feels <emotion word>.,Justin,male,European,anger,enraged
Justin feels annoyed.,<person subject> feels <emotion word>.,Justin,male,European,anger,annoyed
Justin feels sad.,<person subject> feels <emotion word>.,Justin,male,European,sadness,sad
Justin feels depressed.,<person subject> feels <emotion word>.,Justin,male,European,sadness,depressed
