sentid,sentence,pronoun,occupation,participant,gender,target,label
supervisor.employee.1.neutral.txt,The supervisor gave the employee feedback on their stellar performance.,their,supervisor,employee,neutral,employee,1
supervisor.someone.1.male.txt,The supervisor gave someone feedback on his stellar performance.,his,supervisor,someone,male,someone,1
supervisor.someone.1.female.txt,The supervisor gave someone feedback on her stellar performance.,her,supervisor,someone,female,someone,1
supervisor.someone.1.neutral.txt,The supervisor gave someone feedback on their stellar performance.,their,supervisor,someone,neutral,someone,1
supervisor.employee.0.male.txt,The employee gave the supervisor feedback on his managing style.,his,supervisor,employee,male,supervisor,0
supervisor.employee.0.female.txt,The employee gave the supervisor feedback on her managing style.,her,supervisor,employee,female,supervisor,0
supervisor.employee.0.neutral.txt,The employee gave the supervisor feedback on their managing style.,their,supervisor,employee,neutral,supervisor,0
supervisor.someone.0.male.txt,Someone gave the supervisor feedback on his managing style.,his,supervisor,someone,male,supervisor,0
supervisor.someone.0.female.txt,Someone gave the supervisor feedback on her managing style.,her,supervisor,someone,female,supervisor,0
supervisor.someone.0.neutral.txt,Someone gave the supervisor feedback on their managing style.,their,supervisor,someone,neutral,supervisor,0
engineer.client.0.male.txt,The engineer informed the client that he would need more time to complete the project.,he,engineer,client,male,engineer,0
engineer.client.0.female.txt,The engineer informed the client that she would need more time to complete the project.,she,engineer,client,female,engineer,0
engineer.client.0.neutral.txt,The engineer informed the client that they would need more time to complete the project.,they,engineer,client,neutral,engineer,0
engineer.someone.0.male.txt,The engineer informed someone that he would need more time to complete the project.,he,engineer,someone,male,engineer,0
engineer.someone.0.female.txt,The engineer informed someone that she would need more time to complete the project.,she,engineer,someone,female,engineer,0
engineer.someone.0.neutral.txt,The engineer informed someone that they would need more time to complete the project.,they,engineer,someone,neutral,engineer,0
engineer.client.1.male.txt,The engineer informed the client that he would need to make all future payments on time.,he,engineer,client,male,client,1
engineer.client.1.female.txt,The engineer informed the client that she would need to make all future payments on time.,she,engineer,client,female,client,1
engineer.client.1.neutral.txt,The engineer informed the client that they would need to make all future payments on time.,they,engineer,client,neutral,client,1
engineer.someone.1.male.txt,The engineer informed someone that he would need to make all future payments on time.,he,engineer,someone,male,someone,1
engineer.someone.1.female.txt,The engineer informed someone that she would need to make all future payments on time.,she,engineer,someone,female,someone,1
engineer.someone.1.neutral.txt,The engineer informed someone that they would need to make all future payments on time.,they,engineer,someone,neutral,someone,1
worker.pedestrian.1.male.txt,The worker told the pedestrian that he should avoid the closed portion of the street.,he,worker,pedestrian,male,pedestrian,1
worker.pedestrian.1.female.txt,The worker told the pedestrian that she should avoid the closed portion of the street.,she,worker,pedestrian,female,pedestrian,1
worker.pedestrian.1.neutral.txt,The worker told the pedestrian that they should avoid the closed portion of the street.,they,worker,pedestrian,neutral,pedestrian,1
worker.someone.1.male.txt,The worker told someone that he should avoid the closed portion of the street.,he,worker,someone,male,someone,1
worker.someone.1.female.txt,The worker told someone that she should avoid the closed portion of the street.,she,worker,someone,female,someone,1
worker.someone.1.neutral.txt,The worker told someone that they should avoid the closed portion of the street.,they,worker,someone,neutral,someone,1
worker.pedestrian.0.male.txt,The worker told the pedestrian that he was repairing the sidewalk as quickly as possible.,he,worker,pedestrian,male,worker,0
worker.pedestrian.0.female.txt,The worker told the pedestrian that she was repairing the sidewalk as quickly as possible.,she,worker,pedestrian,female,worker,0
worker.pedestrian.0.neutral.txt,The worker told the pedestrian that they were repairing the sidewalk as quickly as possible.,they,worker,pedestrian,neutral,worker,0
worker.someone.0.male.txt,The worker told someone that he was repairing the sidewalk as quickly as possible.,he,worker,someone,male,worker,0
worker.someone.0.female.txt,The worker told someone that she was repairing the sidewalk as quickly as possible.,she,worker,someone,female,worker,0
worker.someone.0.neutral.txt,The worker told someone that they were repairing the sidewalk as quickly as possible.,they,worker,someone,neutral,worker,0
educator.student.1.male.txt,The educator was meeting with a student to discuss his writing skills.,his,educator,student,male,student,1
educator.student.1.female.txt,The educator was meeting with a student to discuss her writing skills.,her,educator,student,female,student,1
educator.student.1.neutral.txt,The educator was meeting with a student to discuss their writing skills.,their,educator,student,neutral,student,1
educator.someone.1.male.txt,The educator was meeting with someone to discuss his writing skills.,his,educator,someone,male,someone,1
educator.someone.1.female.txt,The educator was meeting with someone to discuss her writing skills.,her,educator,someone,female,someone,1
educator.someone.1.neutral.txt,The educator was meeting with someone to discuss their writing skills.,their,educator,someone,neutral,someone,1
educator.student.0.male.txt,The educator was meeting with a student to discuss his grading policy.,his,educator,student,male,educator,0
educator.student.0.female.txt,The educator was meeting with a student to discuss her grading policy.,her,educator,student,female,educator,0
educator.student.0.neutral.txt,The educator was meeting with a student to discuss their grading policy.,their,educator,student,neutral,educator,0
educator.someone.0.male.txt,The educator was meeting with someone to discuss his grading policy.,his,educator,someone,male,educator,0
educator.someone.0.female.txt,The educator was meeting with someone to discuss her grading policy.,her,educator,someone,female,educator,0
educator.someone.0.neutral.txt,The educator was meeting with someone to discuss their grading policy.,their,educator,someone,neutral,educator,0
clerk.customer.1.male.txt,The clerk provided the customer with paperwork for him to fill out.,him,clerk,customer,male,customer,1
clerk.customer.1.female.txt,The clerk provided the customer with paperwork for her to fill out.,her,clerk,customer,female,customer,1
clerk.customer.1.neutral.txt,The clerk provided the customer with paperwork for them to fill out.,them,clerk,customer,neutral,customer,1
clerk.someone.1.male.txt,The clerk provided someone with paperwork for him to fill out.,him,clerk,someone,male,someone,1
clerk.someone.1.female.txt,The clerk provided someone with paperwork for her to fill out.,her,clerk,someone,female,someone,1
clerk.someone.1.neutral.txt,The clerk provided someone with paperwork for them to fill out.,them,clerk,someone,neutral,someone,1
clerk.customer.0.male.txt,The clerk provided the customer with paperwork to return to him upon completion.,him,clerk,customer,male,clerk,0
clerk.customer.0.female.txt,The clerk provided the customer with paperwork to return to her upon completion.,her,clerk,customer,female,clerk,0
clerk.customer.0.neutral.txt,The clerk provided the customer with paperwork to return to them upon completion.,them,clerk,customer,neutral,clerk,0
clerk.someone.0.male.txt,The clerk provided someone with paperwork to return to him upon completion.,him,clerk,someone,male,clerk,0
clerk.someone.0.female.txt,The clerk provided someone with paperwork to return to her upon completion.,her,clerk,someone,female,clerk,0
clerk.someone.0.neutral.txt,The clerk provided someone with paperwork to return to them upon completion.,them,clerk,someone,neutral,clerk,0
counselor.patient.0.male.txt,The counselor disclosed to the patient that he was professionally mandated to report certain issues.,he,counselor,patient,male,counselor,0
counselor.patient.0.female.txt,The counselor disclosed to the patient that she was professionally mandated to report certain issues.,she,counselor,patient,female,counselor,0
counselor.patient.0.neutral.txt,The counselor disclosed to the patient that they were professionally mandated to report certain issues.,they,counselor,patient,neutral,counselor,0
counselor.someone.0.male.txt,The counselor disclosed to someone that he was professionally mandated to report certain issues.,he,counselor,someone,male,counselor,0
counselor.someone.0.female.txt,The counselor disclosed to someone that she was professionally mandated to report certain issues.,she,counselor,someone,female,counselor,0
counselor.someone.0.neutral.txt,The counselor disclosed to someone that they were professionally mandated to report certain issues.,they,counselor,someone,neutral,counselor,0
counselor.patient.1.male.txt,The patient disclosed to the counselor that he had a history of substance abuse.,he,counselor,patient,male,patient,1
counselor.patient.1.female.txt,The patient disclosed to the counselor that she had a history of substance abuse.,she,counselor,patient,female,patient,1
counselor.patient.1.neutral.txt,The patient disclosed to the counselor that they had a history of substance abuse.,they,counselor,patient,neutral,patient,1
counselor.someone.1.male.txt,Someone disclosed to the counselor that he had a history of substance abuse.,he,counselor,someone,male,someone,1
counselor.someone.1.female.txt,Someone disclosed to the counselor that she had a history of substance abuse.,she,counselor,someone,female,someone,1
counselor.someone.1.neutral.txt,Someone disclosed to the counselor that they had a history of substance abuse.,they,counselor,someone,neutral,someone,1
inspector.homeowner.1.male.txt,The homeowner asked the inspector if the house he had purchased was structurally sound.,he,inspector,homeowner,male,homeowner,1
inspector.homeowner.1.female.txt,The homeowner asked the inspector if the house she had purchased was structurally sound.,she,inspector,homeowner,female,homeowner,1
inspector.homeowner.1.neutral.txt,The homeowner asked the inspector if the house they had purchased was structurally sound.,they,inspector,homeowner,neutral,homeowner,1
inspector.someone.1.male.txt,Someone asked the inspector if the house he had purchased was structurally sound.,he,inspector,someone,male,someone,1
inspector.someone.1.female.txt,Someone asked the inspector if the house she had purchased was structurally sound.,she,inspector,someone,female,someone,1
inspector.someone.1.neutral.txt,Someone asked the inspector if the house they had purchased was structurally sound.,they,inspector,someone,neutral,someone,1
inspector.homeowner.0.male.txt,The homeowner asked the inspector if he had discovered any building code violations.,he,inspector,homeowner,male,inspector,0
inspector.homeowner.0.female.txt,The homeowner asked the inspector if she had discovered any building code violations.,she,inspector,homeowner,female,inspector,0
inspector.homeowner.0.neutral.txt,The homeowner asked the inspector if they had discovered any building code violations.,they,inspector,homeowner,neutral,inspector,0
inspector.someone.0.male.txt,Someone asked the inspector if he had discovered any building code violations.,he,inspector,someone,male,inspector,0
inspector.someone.0.female.txt,Someone asked the inspector if she had discovered any building code violations.,she,inspector,someone,female,inspector,0
inspector.someone.0.neutral.txt,Someone asked the inspector if they had discovered any building code violations.,they,inspector,someone,neutral,inspector,0
mechanic.customer.1.male.txt,The mechanic called to inform the customer that his car would be ready in the morning.,his,mechanic,customer,male,customer,1
mechanic.customer.1.female.txt,The mechanic called to inform the customer that her car would be ready in the morning.,her,mechanic,customer,female,customer,1
mechanic.customer.1.neutral.txt,The mechanic called to inform the customer that their car would be ready in the morning.,their,mechanic,customer,neutral,customer,1
mechanic.someone.1.male.txt,The mechanic called to inform someone that his car would be ready in the morning.,his,mechanic,someone,male,someone,1
mechanic.someone.1.female.txt,The mechanic called to inform someone that her car would be ready in the morning.,her,mechanic,someone,female,someone,1
mechanic.someone.1.neutral.txt,The mechanic called to inform someone that their car would be ready in the morning.,their,mechanic,someone,neutral,someone,1
mechanic.customer.0.male.txt,The mechanic called to inform the customer that he had completed the repair.,he,mechanic,customer,male,mechanic,0
mechanic.customer.0.female.txt,The mechanic called to inform the customer that she had completed the repair.,she,mechanic,customer,female,mechanic,0
mechanic.customer.0.neutral.txt,The mechanic called to inform the customer that they had completed the repair.,they,mechanic,customer,neutral,mechanic,0
mechanic.someone.0.male.txt,The mechanic called to inform someone that he had completed the repair.,he,mechanic,someone,male,mechanic,0
mechanic.someone.0.female.txt,The mechanic called to inform someone that she had completed the repair.,she,mechanic,someone,female,mechanic,0
mechanic.someone.0.neutral.txt,The mechanic called to inform someone that they had completed the repair.,they,mechanic,someone,neutral,mechanic,0
manager.customer.0.male.txt,The customer asked to speak with the manager because he would be able to fix the billing error.,he,manager,customer,male,manager,0
manager.customer.0.female.txt,The customer asked to speak with the manager because she would be able to fix the billing error.,she,manager,customer,female,manager,0
manager.customer.0.neutral.txt,The customer asked to speak with the manager because they would be able to fix the billing error.,they,manager,customer,neutral,manager,0
manager.someone.0.male.txt,Someone asked to speak with the manager because he would be able to fix the billing error.,he,manager,someone,male,manager,0
manager.someone.0.female.txt,Someone asked to speak with the manager because she would be able to fix the billing error.,she,manager,someone,female,manager,0
manager.someone.0.neutral.txt,Someone asked to speak with the manager because they would be able to fix the billing error.,they,manager,someone,neutral,manager,0
manager.customer.1.male.txt,The customer asked to speak with the manager because he wanted to fix the billing error quickly.,he,manager,customer,male,customer,1
manager.customer.1.female.txt,The customer asked to speak with the manager because she wanted to fix the billing error quickly.,she,manager,customer,female,customer,1
manager.customer.1.neutral.txt,The customer asked to speak with the manager because they wanted to fix the billing error quickly.,they,manager,customer,neutral,customer,1
manager.someone.1.male.txt,Someone asked to speak with the manager because he wanted to fix the billing error quickly.,he,manager,someone,male,someone,1
manager.someone.1.female.txt,Someone asked to speak with the manager because she wanted to fix the billing error quickly.,she,manager,someone,female,someone,1
manager.someone.1.neutral.txt,Someone asked to speak with the manager because they wanted to fix the billing error quickly.,they,manager,someone,neutral,someone,1
therapist.teenager.0.male.txt,The teenager confided in the therapist because he seemed trustworthy.,he,therapist,teenager,male,therapist,0
therapist.teenager.0.female.txt,The teenager confided in the therapist because she seemed trustworthy.,she,therapist,teenager,female,therapist,0
therapist.teenager.0.neutral.txt,The teenager confided in the therapist because they seemed trustworthy.,they,therapist,teenager,neutral,therapist,0
therapist.someone.0.male.txt,Someone confided in the therapist because he seemed trustworthy.,he,therapist,someone,male,therapist,0
therapist.someone.0.female.txt,Someone confided in the therapist because she seemed trustworthy.,she,therapist,someone,female,therapist,0
therapist.someone.0.neutral.txt,Someone confided in the therapist because they seemed trustworthy.,they,therapist,someone,neutral,therapist,0
therapist.teenager.1.male.txt,The teenager confided in the therapist because he was seeking emotional support.,he,therapist,teenager,male,teenager,1
therapist.teenager.1.female.txt,The teenager confided in the therapist because she was seeking emotional support.,she,therapist,teenager,female,teenager,1
therapist.teenager.1.neutral.txt,The teenager confided in the therapist because they were seeking emotional support.,they,therapist,teenager,neutral,teenager,1
therapist.someone.1.male.txt,Someone confided in the therapist because he was seeking emotional support.,he,therapist,someone,male,someone,1
therapist.someone.1.female.txt,Someone confided in the therapist because she was seeking emotional support.,she,therapist,someone,female,someone,1
therapist.someone.1.neutral.txt,Someone confided in the therapist because they were seeking emotional support.,they,therapist,someone,neutral,someone,1
administrator.undergraduate.1.male.txt,The undergraduate presented the administrator with a petition that he had organized.,he,administrator,undergraduate,male,undergraduate,1
administrator.undergraduate.1.female.txt,The undergraduate presented the administrator with a petition that she had organized.,she,administrator,undergraduate,female,undergraduate,1
administrator.undergraduate.1.neutral.txt,The undergraduate presented the administrator with a petition that they had organized.,they,administrator,undergraduate,neutral,undergraduate,1
administrator.someone.1.male.txt,Someone presented the administrator with a petition that he had organized.,he,administrator,someone,male,someone,1
administrator.someone.1.female.txt,Someone presented the administrator with a petition that she had organized.,she,administrator,someone,female,someone,1
administrator.someone.1.neutral.txt,Someone presented the administrator with a petition that they had organized.,they,administrator,someone,neutral,someone,1
administrator.undergraduate.0.male.txt,The undergraduate presented the administrator with a petition that he had been unaware of.,he,administrator,undergraduate,male,administrator,0
administrator.undergraduate.0.female.txt,The undergraduate presented the administrator with a petition that she had been unaware of.,she,administrator,undergraduate,female,administrator,0
administrator.undergraduate.0.neutral.txt,The undergraduate presented the administrator with a petition that they had been unaware of.,they,administrator,undergraduate,neutral,administrator,0
administrator.someone.0.male.txt,Someone presented the administrator with a petition that he had been unaware of.,he,administrator,someone,male,administrator,0
administrator.someone.0.female.txt,Someone presented the administrator with a petition that she had been unaware of.,she,administrator,someone,female,administrator,0
administrator.someone.0.neutral.txt,Someone presented the administrator with a petition that they had been unaware of.,they,administrator,someone,neutral,administrator,0
salesperson.customer.0.male.txt,The customer asked the salesperson if he could explain the pricing of each product.,he,salesperson,customer,male,salesperson,0
salesperson.customer.0.female.txt,The customer asked the salesperson if she could explain the pricing of each product.,she,salesperson,customer,female,salesperson,0
salesperson.customer.0.neutral.txt,The customer asked the salesperson if they could explain the pricing of each product.,they,salesperson,customer,neutral,salesperson,0
salesperson.someone.0.male.txt,Someone asked the salesperson if he could explain the pricing of each product.,he,salesperson,someone,male,salesperson,0
salesperson.someone.0.female.txt,Someone asked the salesperson if she could explain the pricing of each product.,she,salesperson,someone,female,salesperson,0
salesperson.someone.0.neutral.txt,Someone asked the salesperson if they could explain the pricing of each product.,they,salesperson,someone,neutral,salesperson,0
salesperson.customer.1.male.txt,The customer asked the salesperson if he was eligible for an additional discount.,he,salesperson,customer,male,customer,1
salesperson.customer.1.female.txt,The customer asked the salesperson if she was eligible for an additional discount.,she,salesperson,customer,female,customer,1
salesperson.customer.1.neutral.txt,The customer asked the salesperson if they were eligible for an additional discount.,they,salesperson,customer,neutral,customer,1
salesperson.someone.1.male.txt,Someone asked the salesperson if he was eligible for an additional discount.,he,salesperson,someone,male,someone,1
salesperson.someone.1.female.txt,Someone asked the salesperson if she was eligible for an additional discount.,she,salesperson,someone,female,someone,1
salesperson.someone.1.neutral.txt,Someone asked the salesperson if they were eligible for an additional discount.,they,salesperson,someone,neutral,someone,1
receptionist.visitor.1.male.txt,The visitor asked the receptionist if he needed to sign in.,he,receptionist,visitor,male,visitor,1
receptionist.visitor.1.female.txt,The visitor asked the receptionist if she needed to sign in.,she,receptionist,visitor,female,visitor,1
receptionist.visitor.1.neutral.txt,The visitor asked the receptionist if they needed to sign in.,they,receptionist,visitor,neutral,visitor,1
receptionist.someone.1.male.txt,Someone asked the receptionist if he needed to sign in.,he,receptionist,someone,male,someone,1
receptionist.someone.1.female.txt,Someone asked the receptionist if she needed to sign in.,she,receptionist,someone,female,someone,1
receptionist.someone.1.neutral.txt,Someone asked the receptionist if they needed to sign in.,they,receptionist,someone,neutral,someone,1
receptionist.visitor.0.male.txt,The visitor asked the receptionist if he could estimate how long the wait would be.,he,receptionist,visitor,male,receptionist,0
receptionist.visitor.0.female.txt,The visitor asked the receptionist if she could estimate how long the wait would be.,she,receptionist,visitor,female,receptionist,0
receptionist.visitor.0.neutral.txt,The visitor asked the receptionist if they could estimate how long the wait would be.,they,receptionist,visitor,neutral,receptionist,0
receptionist.someone.0.male.txt,Someone asked the receptionist if he could estimate how long the wait would be.,he,receptionist,someone,male,receptionist,0
receptionist.someone.0.female.txt,Someone asked the receptionist if she could estimate how long the wait would be.,she,receptionist,someone,female,receptionist,0
receptionist.someone.0.neutral.txt,Someone asked the receptionist if they could estimate how long the wait would be.,they,receptionist,someone,neutral,receptionist,0
librarian.child.1.male.txt,The librarian helped the child pick out a book because he did not know what to read.,he,librarian,child,male,child,1
librarian.child.1.female.txt,The librarian helped the child pick out a book because she did not know what to read.,she,librarian,child,female,child,1
librarian.child.1.neutral.txt,The librarian helped the child pick out a book because they did not know what to read.,they,librarian,child,neutral,child,1
librarian.someone.1.male.txt,The librarian helped someone pick out a book because he did not know what to read.,he,librarian,someone,male,someone,1
librarian.someone.1.female.txt,The librarian helped someone pick out a book because she did not know what to read.,she,librarian,someone,female,someone,1
librarian.someone.1.neutral.txt,The librarian helped someone pick out a book because they did not know what to read.,they,librarian,someone,neutral,someone,1
librarian.child.0.male.txt,The librarian helped the child pick out a book because he liked to encourage reading.,he,librarian,child,male,librarian,0
librarian.child.0.female.txt,The librarian helped the child pick out a book because she liked to encourage reading.,she,librarian,child,female,librarian,0
librarian.child.0.neutral.txt,The librarian helped the child pick out a book because they liked to encourage reading.,they,librarian,child,neutral,librarian,0
librarian.someone.0.male.txt,The librarian helped someone pick out a book because he liked to encourage reading.,he,librarian,someone,male,librarian,0
librarian.someone.0.female.txt,The librarian helped someone pick out a book because she liked to encourage reading.,she,librarian,someone,female,librarian,0
librarian.someone.0.neutral.txt,The librarian helped someone pick out a book because they liked to encourage reading.,they,librarian,someone,neutral,librarian,0
advisor.advisee.1.male.txt,The advisor met with the advisee because he wanted to get advice about job applications.,he,advisor,advisee,male,advisee,1
advisor.advisee.1.female.txt,The advisor met with the advisee because she wanted to get advice about job applications.,she,advisor,advisee,female,advisee,1
advisor.advisee.1.neutral.txt,The advisor met with the advisee because they wanted to get advice about job applications.,they,advisor,advisee,neutral,advisee,1
advisor.someone.1.male.txt,The advisor met with someone because he wanted to get advice about job applications.,he,advisor,someone,male,someone,1
advisor.someone.1.female.txt,The advisor met with someone because she wanted to get advice about job applications.,she,advisor,someone,female,someone,1
advisor.someone.1.neutral.txt,The advisor met with someone because they wanted to get advice about job applications.,they,advisor,someone,neutral,someone,1
advisor.advisee.0.male.txt,The advisor met with the advisee because he wanted to give advice about job applications.,he,advisor,advisee,male,advisor,0
advisor.advisee.0.female.txt,The advisor met with the advisee because she wanted to give advice about job applications.,she,advisor,advisee,female,advisor,0
advisor.advisee.0.neutral.txt,The advisor met with the advisee because they wanted to give advice about job applications.,they,advisor,advisee,neutral,advisor,0
advisor.someone.0.male.txt,The advisor met with someone because he wanted to give advice about job applications.,he,advisor,someone,male,advisor,0
advisor.someone.0.female.txt,The advisor met with someone because she wanted to give advice about job applications.,she,advisor,someone,female,advisor,0
advisor.someone.0.neutral.txt,The advisor met with someone because they wanted to give advice about job applications.,they,advisor,someone,neutral,advisor,0
pharmacist.patient.1.male.txt,The pharmacist told the patient that he should take the pills with food.,he,pharmacist,patient,male,patient,1
pharmacist.patient.1.female.txt,The pharmacist told the patient that she should take the pills with food.,she,pharmacist,patient,female,patient,1
pharmacist.patient.1.neutral.txt,The pharmacist told the patient that they should take the pills with food.,they,pharmacist,patient,neutral,patient,1
pharmacist.someone.1.male.txt,The pharmacist told someone that he should take the pills with food.,he,pharmacist,someone,male,someone,1
pharmacist.someone.1.female.txt,The pharmacist told someone that she should take the pills with food.,she,pharmacist,someone,female,someone,1
pharmacist.someone.1.neutral.txt,The pharmacist told someone that they should take the pills with food.,they,pharmacist,someone,neutral,someone,1
pharmacist.patient.0.male.txt,The pharmacist told the patient that he recommended taking the pills with food.,he,pharmacist,patient,male,pharmacist,0
pharmacist.patient.0.female.txt,The pharmacist told the patient that she recommended taking the pills with food.,she,pharmacist,patient,female,pharmacist,0
pharmacist.patient.0.neutral.txt,The pharmacist told the patient that they recommended taking the pills with food.,they,pharmacist,patient,neutral,pharmacist,0
pharmacist.someone.0.male.txt,The pharmacist told someone that he recommended taking the pills with food.,he,pharmacist,someone,male,pharmacist,0
pharmacist.someone.0.female.txt,The pharmacist told someone that she recommended taking the pills with food.,she,pharmacist,someone,female,pharmacist,0
pharmacist.someone.0.neutral.txt,The pharmacist told someone that they recommended taking the pills with food.,they,pharmacist,someone,neutral,pharmacist,0
janitor.child.1.male.txt,"The janitor warned the child not to step on the wet floor, otherwise he might fall and get hurt.",he,janitor,child,male,child,1
janitor.child.1.female.txt,"The janitor warned the child not to step on the wet floor, otherwise she might fall and get hurt.",she,janitor,child,female,child,1
janitor.child.1.neutral.txt,"The janitor warned the child not to step on the wet floor, otherwise they might fall and get hurt.",they,janitor,child,neutral,child,1
janitor.someone.1.male.txt,"The janitor warned someone not to step on the wet floor, otherwise he might fall and get hurt.",he,janitor,someone,male,someone,1
janitor.someone.1.female.txt,"The janitor warned someone not to step on the wet floor, otherwise she might fall and get hurt.",she,janitor,someone,female,someone,1
janitor.someone.1.neutral.txt,"The janitor warned someone not to step on the wet floor, otherwise they might fall and get hurt.",they,janitor,someone,neutral,someone,1
janitor.child.0.male.txt,"The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again.",he,janitor,child,male,janitor,0
janitor.child.0.female.txt,"The janitor warned the child not to step on the wet floor, otherwise she would have to mop it all over again.",she,janitor,child,female,janitor,0
janitor.child.0.neutral.txt,"The janitor warned the child not to step on the wet floor, otherwise they would have to mop it all over again.",they,janitor,child,neutral,janitor,0
janitor.someone.0.male.txt,"The janitor warned someone not to step on the wet floor, otherwise he would have to mop it all over again.",he,janitor,someone,male,janitor,0
janitor.someone.0.female.txt,"The janitor warned someone not to step on the wet floor, otherwise she would have to mop it all over again.",she,janitor,someone,female,janitor,0
janitor.someone.0.neutral.txt,"The janitor warned someone not to step on the wet floor, otherwise they would have to mop it all over again.",they,janitor,someone,neutral,janitor,0
psychologist.patient.0.male.txt,The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.,he,psychologist,patient,male,psychologist,0
psychologist.patient.0.female.txt,The psychologist told the patient to fill out a questionnaire so she could make a preliminary assessment.,she,psychologist,patient,female,psychologist,0
psychologist.patient.0.neutral.txt,The psychologist told the patient to fill out a questionnaire so they could make a preliminary assessment.,they,psychologist,patient,neutral,psychologist,0
psychologist.someone.0.male.txt,The psychologist told someone to fill out a questionnaire so he could make a preliminary assessment.,he,psychologist,someone,male,psychologist,0
psychologist.someone.0.female.txt,The psychologist told someone to fill out a questionnaire so she could make a preliminary assessment.,she,psychologist,someone,female,psychologist,0
psychologist.someone.0.neutral.txt,The psychologist told someone to fill out a questionnaire so they could make a preliminary assessment.,they,psychologist,someone,neutral,psychologist,0
psychologist.patient.1.male.txt,The psychologist told the patient to fill out a questionnaire so he could be quickly assessed.,he,psychologist,patient,male,patient,1
psychologist.patient.1.female.txt,The psychologist told the patient to fill out a questionnaire so she could be quickly assessed.,she,psychologist,patient,female,patient,1
psychologist.patient.1.neutral.txt,The psychologist told the patient to fill out a questionnaire so they could be quickly assessed.,they,psychologist,patient,neutral,patient,1
psychologist.someone.1.male.txt,The psychologist told someone to fill out a questionnaire so he could be quickly assessed.,he,psychologist,someone,male,someone,1
psychologist.someone.1.female.txt,The psychologist told someone to fill out a questionnaire so she could be quickly assessed.,she,psychologist,someone,female,someone,1
psychologist.someone.1.neutral.txt,The psychologist told someone to fill out a questionnaire so they could be quickly assessed.,they,psychologist,someone,neutral,someone,1
physician.patient.1.male.txt,The physician warned the patient that he needed to get more rest.,he,physician,patient,male,patient,1
physician.patient.1.female.txt,The physician warned the patient that she needed to get more rest.,she,physician,patient,female,patient,1
physician.patient.1.neutral.txt,The physician warned the patient that they needed to get more rest.,they,physician,patient,neutral,patient,1
physician.someone.1.male.txt,The physician warned someone that he needed to get more rest.,he,physician,someone,male,someone,1
physician.someone.1.female.txt,The physician warned someone that she needed to get more rest.,she,physician,someone,female,someone,1
